dataset,training_ratio,model,training_time,predict_time,error,model_size
cancer,0.15998587196060582,AdaBoost,0.012443100000382401,0.0014121000003797235,0.05555555555555558,104.0
cancer,0.15998587196060582,kNN,0.0004959999996572151,0.006079900000258931,0.11111111111111116,0
cancer,0.15998587196060582,Logistic Regression,0.007244399999763118,0.00013409999974101083,0.12962962962962965,0
cancer,0.15998587196060582,Neural Network,0.11315980000017589,0.00036529999943013536,0.10185185185185186,75266.0
cancer,0.16768329368110083,QDA,0.0007656999996470404,0.00019220000012865057,0.08333333333333337,1860.0
cancer,0.16768329368110083,LDA,0.0012478999997256324,0.00013039999976172112,0.08333333333333337,960.0
cancer,0.16768329368110083,Decicision Tree,0.0007158999997045612,0.00014370000008057104,0.15740740740740744,10.0
cancer,0.16768329368110083,Random Forrest,0.08882700000049226,0.00410109999938868,0.08333333333333337,1308.0
cancer,0.16768329368110083,SVM,0.0010516000002098735,0.00013349999971978832,0.10185185185185186,60.0
cancer,0.16768329368110083,AdaBoost,0.0015863000007811934,0.0002480999992258148,0.10185185185185186,15.0
cancer,0.16768329368110083,kNN,0.0003357999994477723,0.005608899999970163,0.09259259259259256,0
cancer,0.16768329368110083,Logistic Regression,0.007781600000271283,0.00012900000001536682,0.07407407407407407,0
cancer,0.16768329368110083,Neural Network,0.10652479999953357,0.0003225999998903717,0.07407407407407407,75266.0
cancer,0.1757510624854792,QDA,0.0007607999996253056,0.00018710000040300656,0.09259259259259256,1860.0
cancer,0.1757510624854792,LDA,0.0011619999995673425,0.00013299999955052044,0.13888888888888884,960.0
cancer,0.1757510624854792,Decicision Tree,0.0007098000005498761,0.0001390999996147002,0.05555555555555558,14.0
cancer,0.1757510624854792,Random Forrest,0.08508190000065952,0.00438159999976051,0.06481481481481477,1920.0
cancer,0.1757510624854792,SVM,0.0008526999999958207,0.0001785000004019821,0.06481481481481477,60.0
cancer,0.1757510624854792,AdaBoost,0.0170654999992621,0.0017496999998911633,0.07407407407407407,171.0
cancer,0.1757510624854792,kNN,0.0003392999997231527,0.005436100000224542,0.12962962962962965,0
cancer,0.1757510624854792,Logistic Regression,0.007871100000556908,0.0001452999995308346,0.07407407407407407,0
cancer,0.1757510624854792,Neural Network,0.1352428999998665,0.0003691000001708744,0.05555555555555558,75266.0
cancer,0.1842069969326716,QDA,0.0010134999993169913,0.00020710000080725877,0.05555555555555558,1860.0
cancer,0.1842069969326716,LDA,0.00130899999930989,0.00013840000065101776,0.05555555555555558,960.0
